Test # 1
Space,Count,%,Count,%,Count,%,Count,%
,n = 1000,,n = 10000,,n = 100000,,n = 1000000,,
Go,37,2.9719,361,2.8975,3692,2.9679,36825,2.9628,
Mediterranean Avenue,20,1.6064,250,2.0066,2503,2.0121,25362,2.0405,
Community Chest,23,1.8474,232,1.8621,2545,2.0459,25632,2.0623,
Baltic Avenue,26,2.0884,272,2.1832,2631,2.1150,25928,2.0861,
Income Tax,18,1.4458,252,2.0226,2745,2.2067,27734,2.2314,
Reading Railroad,37,2.9719,347,2.7851,3538,2.8441,35412,2.8491,
Oriental Avenue,28,2.2490,303,2.4320,2728,2.1930,26855,2.1607,
Chance,28,2.2490,266,2.1350,2735,2.1986,27324,2.1984,
Vermont Avenue,19,1.5261,287,2.3036,2752,2.2123,27887,2.2437,
Connecticut Avenue,30,2.4096,256,2.0547,2687,2.1600,27468,2.2100,
Jail / Just Visiting,32,2.5703,270,2.1671,2772,2.2284,27147,2.1842,
St. Charles Place,31,2.4900,343,2.7530,3170,2.5483,32312,2.5997,
Electric Company,23,1.8474,309,2.4801,3133,2.5186,31279,2.5166,
States Avenue,28,2.2490,278,2.2313,2848,2.2895,28084,2.2595,
Virginia Avenue,32,2.5703,308,2.4721,3001,2.4125,29873,2.4035,
Pennsylvania Railroad,37,2.9719,351,2.8172,3498,2.8120,34160,2.7484,
St. James Place,33,2.6506,316,2.5363,3326,2.6737,33758,2.7160,
Community Chest,43,3.4538,339,2.7209,3503,2.8160,34623,2.7856,
Tennessee Avenue,29,2.3293,375,3.0099,3496,2.8104,35038,2.8190,
New York Avenue,35,2.8112,368,2.9537,3605,2.8980,36455,2.9330,
Free Parking,34,2.7309,322,2.5845,3395,2.7292,34534,2.7785,
Kentucky Avenue,39,3.1325,354,2.8413,3414,2.7445,33661,2.7082,
Chance,26,2.0884,314,2.5203,3351,2.6938,33841,2.7227,
Indiana Avenue,41,3.2932,336,2.6968,3309,2.6601,32560,2.6197,
Illinois Avenue,43,3.4538,376,3.0179,3866,3.1078,38173,3.0713,
B. & O. Railroad,37,2.9719,387,3.1062,3628,2.9165,36483,2.9353,
Atlantic Avenue,29,2.3293,293,2.3517,3134,2.5194,32261,2.5956,
Ventnor Avenue,29,2.3293,329,2.6407,3191,2.5652,31618,2.5439,
Water Works,32,2.5703,346,2.7771,3349,2.6922,33273,2.6770,
Marvin Gardens,31,2.4900,304,2.4400,3132,2.5178,30917,2.4875,
Go To Jail,42,3.3735,303,2.4320,3141,2.5250,31154,2.5065,
Pacific Avenue,37,2.9719,349,2.8012,3247,2.6102,32028,2.5769,
North Carolina Avenue,33,2.6506,299,2.3999,3164,2.5435,31483,2.5330,
Community Chest,37,2.9719,312,2.5042,3198,2.5708,32248,2.5946,
Pennsylvania Avenue,21,1.6867,309,2.4801,2926,2.3522,29449,2.3694,
Short Line,24,1.9277,290,2.3276,2898,2.3297,28833,2.3198,
Chance,32,2.5703,316,2.5363,2776,2.2316,27595,2.2202,
Park Place,26,2.0884,261,2.0949,2572,2.0676,26107,2.1005,
Luxury Tax,29,2.3293,249,1.9986,2584,2.0772,26042,2.0952,
Boardwalk,34,2.7309,327,2.6246,3213,2.5829,31493,2.5338,

Test # 2
Space,Count,%,Count,%,Count,%,Count,%
,n = 1000,,n = 10000,,n = 100000,,n = 1000000,,
Go,29,2.2656,347,2.7934,3640,2.9269,36814,2.9639,
Mediterranean Avenue,33,2.5781,272,2.1897,2622,2.1083,25356,2.0414,
Community Chest,25,1.9531,249,2.0045,2549,2.0496,25536,2.0559,
Baltic Avenue,19,1.4844,253,2.0367,2581,2.0754,25754,2.0734,
Income Tax,25,1.9531,278,2.2380,2829,2.2748,27578,2.2203,
Reading Railroad,35,2.7344,368,2.9625,3624,2.9140,35546,2.8618,
Oriental Avenue,27,2.1094,249,2.0045,2580,2.0746,26708,2.1502,
Chance,26,2.0313,283,2.2782,2829,2.2748,27561,2.2189,
Vermont Avenue,29,2.2656,282,2.2702,2809,2.2587,27506,2.2145,
Connecticut Avenue,42,3.2812,304,2.4473,2818,2.2659,27436,2.2088,
