Test # 1
Space,Count,%,Count,%,Count,%,Count,%
,n = 1000,,n = 10000,,n = 100000,,n = 1000000,,
Go,36,2.9727,347,2.9072,3510,2.9747,34894,2.9576,
Mediterranean Avenue,26,2.1470,236,1.9772,2439,2.0671,24480,2.0749,
Community Chest,23,1.8993,240,2.0107,2333,1.9772,24158,2.0476,
Baltic Avenue,21,1.7341,241,2.0191,2409,2.0416,24446,2.0721,
Income Tax,33,2.7250,279,2.3375,2622,2.2221,26220,2.2224,
Reading Railroad,30,2.4773,362,3.0328,3380,2.8646,33764,2.8619,
Oriental Avenue,26,2.1470,255,2.1364,2526,2.1408,25479,2.1596,
Chance,33,2.7250,267,2.2369,2654,2.2493,26213,2.2218,
Vermont Avenue,20,1.6515,241,2.0191,2580,2.1866,25886,2.1941,
Connecticut Avenue,28,2.3121,258,2.1615,2576,2.1832,26031,2.2064,
Jail / Just Visiting,28,2.3121,274,2.2956,2616,2.2171,25772,2.1845,
St. Charles Place,31,2.5599,319,2.6726,3067,2.5993,30802,2.6108,
Electric Company,27,2.2296,308,2.5804,3146,2.6662,31258,2.6495,
States Avenue,30,2.4773,281,2.3542,2621,2.2213,26282,2.2277,
Virginia Avenue,31,2.5599,268,2.2453,2905,2.4620,28736,2.4357,
Pennsylvania Railroad,45,3.7159,354,2.9658,3234,2.7408,32004,2.7127,
St. James Place,25,2.0644,312,2.6139,3174,2.6900,31995,2.7119,
Community Chest,27,2.2296,332,2.7815,3272,2.7730,31839,2.6987,
Tennessee Avenue,24,1.9818,312,2.6139,3348,2.8374,33624,2.8500,
New York Avenue,31,2.5599,312,2.6139,3389,2.8722,33613,2.8491,
Free Parking,40,3.3031,360,3.0161,3394,2.8764,33567,2.8452,
Kentucky Avenue,31,2.5599,322,2.6977,3125,2.6484,31804,2.6957,
Chance,52,4.2940,376,3.1501,3380,2.8646,33071,2.8031,
Indiana Avenue,31,2.5599,286,2.3961,3072,2.6035,30628,2.5961,
Illinois Avenue,35,2.8902,362,3.0328,3643,3.0874,35716,3.0273,
B. & O. Railroad,29,2.3947,336,2.8150,3457,2.9298,34853,2.9542,
Atlantic Avenue,28,2.3121,315,2.6391,3040,2.5764,30400,2.5767,
Ventnor Avenue,36,2.9727,324,2.7145,3115,2.6400,30180,2.5581,
Water Works,31,2.5599,314,2.6307,3057,2.5908,31770,2.6928,
Marvin Gardens,40,3.3031,288,2.4129,2857,2.4213,29302,2.4837,
Go To Jail,30,2.4773,275,2.3040,2958,2.5069,29419,2.4936,
Pacific Avenue,24,1.9818,304,2.5469,2985,2.5298,30320,2.5699,
North Carolina Avenue,29,2.3947,291,2.4380,2926,2.4798,29419,2.4936,
Community Chest,28,2.3121,318,2.6642,3028,2.5662,30564,2.5906,
Pennsylvania Avenue,27,2.2296,278,2.3291,2843,2.4094,28494,2.4152,
Short Line,34,2.8076,304,2.5469,2761,2.3399,27360,2.3191,
Chance,29,2.3947,270,2.2621,2641,2.2382,26140,2.2156,
Park Place,26,2.1470,261,2.1867,2432,2.0611,25043,2.1227,
Luxury Tax,22,1.8167,238,1.9940,2426,2.0560,24544,2.0804,
Boardwalk,34,2.8076,316,2.6475,3053,2.5874,29702,2.5176,

Test # 2
Space,Count,%,Count,%,Count,%,Count,%
,n = 1000,,n = 10000,,n = 100000,,n = 1000000,,
Go,31,2.6428,351,2.9713,3500,2.9722,34985,2.9688,
Mediterranean Avenue,27,2.3018,268,2.2687,2453,2.0831,23875,2.0260,
Community Chest,25,2.1313,258,2.1840,2426,2.0602,24299,2.0620,
Baltic Avenue,19,1.6198,216,1.8285,2389,2.0288,24120,2.0468,
Income Tax,23,1.9608,248,2.0994,2552,2.1672,26114,2.2160,
Reading Railroad,39,3.3248,327,2.7681,3329,2.8270,33742,2.8633,
Oriental Avenue,31,2.6428,272,2.3025,2615,2.2207,25523,2.1659,
Chance,25,2.1313,251,2.1248,2600,2.2080,26199,2.2232,
Vermont Avenue,22,1.8755,259,2.1925,2593,2.2020,26047,2.2103,
Connecticut Avenue,30,2.5575,276,2.3364,2606,2.2131,25722,2.1828,
Jail / Just Visiting,20,1.7050,282,2.3872,2558,2.1723,25518,2.1654,
St. Charles Place,38,3.2396,301,2.5480,3035,2.5774,30701,2.6053,
Electric Company,37,3.1543,301,2.5480,3053,2.5926,31038,2.6339,
States Avenue,19,1.6198,248,2.0994,2577,2.1884,26088,2.2138,
Virginia Avenue,29,2.4723,298,2.5226,2962,2.5154,29100,2.4694,
Pennsylvania Railroad,22,1.8755,311,2.6327,3171,2.6929,31796,2.6982,
St. James Place,34,2.8986,315,2.6666,3260,2.7684,32222,2.7343,
Community Chest,35,2.9838,311,2.6327,3090,2.6241,31614,2.6827,
Tennessee Avenue,29,2.4723,357,3.0221,3449,2.9289,33702,2.8599,
New York Avenue,42,3.5806,370,3.1321,3394,2.8822,33987,2.8841,
Free Parking,35,2.9838,331,2.8020,3268,2.7752,33621,2.8531,
Kentucky Avenue,34,2.8986,294,2.4888,3163,2.6861,31621,2.6833,
Chance,29,2.4723,336,2.8443,3427,2.9103,33149,2.8130,
Indiana Avenue,27,2.3018,287,2.4295,3017,2.5621,30734,2.6081,
Illinois Avenue,31,2.6428,337,2.8528,3578,3.0385,36047,3.0589,
B. & O. Railroad,37,3.1543,354,2.9967,3473,2.9493,34629,2.9386,
Atlantic Avenue,36,3.0691,343,2.9036,3091,2.6249,30329,2.5737,
Ventnor Avenue,31,2.6428,304,2.5734,3050,2.5901,30075,2.5521,
Water Works,24,2.0460,344,2.9120,3193,2.7115,31822,2.7004,
Marvin Gardens,34,2.8986,289,2.4465,2894,2.4576,29196,2.4776,
Go To Jail,28,2.3870,302,2.5565,3061,2.5994,30111,2.5552,
Pacific Avenue,22,1.8755,288,2.4380,2925,2.4839,30168,2.5600,
North Carolina Avenue,37,3.1543,268,2.2687,2924,2.4831,29629,2.5143,
Community Chest,39,3.3248,334,2.8274,3098,2.6309,30595,2.5963,
Pennsylvania Avenue,27,2.3018,309,2.6158,2871,2.4381,28045,2.3799,
Short Line,22,1.8755,254,2.1502,2753,2.3379,27287,2.3156,
Chance,19,1.6198,235,1.9893,2544,2.1604,26354,2.2364,
Park Place,28,2.3870,268,2.2687,2486,2.1111,24259,2.0586,
Luxury Tax,31,2.6428,233,1.9724,2429,2.0627,24492,2.0784,
Boardwalk,25,2.1313,283,2.3957,2899,2.4619,29866,2.5344,

Test # 3
Space,Count,%,Count,%,Count,%,Count,%
,n = 1000,,n = 10000,,n = 100000,,n = 1000000,,
Go,37,3.0553,325,2.7293,3606,3.0429,35142,2.9793,
Mediterranean Avenue,23,1.8993,243,2.0406,2396,2.0219,24088,2.0422,
Community Chest,21,1.7341,265,2.2254,2554,2.1552,24164,2.0486,
Baltic Avenue,21,1.7341,244,2.0490,2351,1.9839,24564,2.0825,
Income Tax,30,2.4773,261,2.1918,2632,2.2210,26210,2.2221,
Reading Railroad,31,2.5599,315,2.6453,3329,2.8092,33730,2.8596,
Oriental Avenue,35,2.8902,290,2.4353,2595,2.1898,25603,2.1706,
Chance,32,2.6424,243,2.0406,2557,2.1577,26115,2.2140,
Vermont Avenue,34,2.8076,271,2.2758,2696,2.2750,26130,2.2153,
Connecticut Avenue,30,2.4773,281,2.3598,2706,2.2834,26155,2.2174,
Jail / Just Visiting,26,2.1470,247,2.0742,2485,2.0970,25734,2.1817,
St. Charles Place,26,2.1470,276,2.3178,3109,2.6235,30561,2.5909,
Electric Company,27,2.2296,311,2.6117,3083,2.6016,30899,2.6196,
States Avenue,28,2.3121,269,2.2590,2547,2.1493,25985,2.2030,
Virginia Avenue,36,2.9727,311,2.6117,2932,2.4742,29068,2.4643,
Pennsylvania Railroad,34,2.8076,315,2.6453,3239,2.7332,31690,2.6866,
St. James Place,27,2.2296,322,2.7041,3234,2.7290,31902,2.7046,
Community Chest,28,2.3121,294,2.4689,3219,2.7163,32180,2.7282,
Tennessee Avenue,33,2.7250,351,2.9476,3338,2.8168,33496,2.8397,
New York Avenue,31,2.5599,350,2.9392,3428,2.8927,34156,2.8957,
Free Parking,26,2.1470,310,2.6033,3295,2.7805,33352,2.8275,
Kentucky Avenue,34,2.8076,340,2.8552,3203,2.7028,31321,2.6554,
Chance,35,2.8902,350,2.9392,3358,2.8336,32919,2.7908,
Indiana Avenue,34,2.8076,295,2.4773,3115,2.6286,31115,2.6379,
